answer,1_1585072242.505,减肥,805283209,7718,149,4540,440960,1566956693,273447974,每天慢跑40分钟能减肥吗？,594,9062,38,1523851833
answer,2_1585072242.321,装修,483277806,13255,358,5764,1305521,1535792855,275630227,装修时哪些东西不安装，事后会后悔？,518,33924,14,1525253451
answer,3_1585072242.463,面试,585533927,3851,206,3414,288208,1548826994,20473577,没有会计经验，怎样去面试会计工作？,71,4682,4,1347349432
article,4_1585072242.825,pr软件,84377653,1582,114,PR从零基础到精通，全网最全教程！,96530,1569589442
answer,5_1585072242.288,故事,1081300000,2574,440,255,748149,1584285482,265583638,有哪些你只能匿名说出来秘密？,68063,166583,95,1515928144
answer,6_1585072242.386,美国人,1035797087,19788,1435,1241,499180,1582552662,368250047,我妈总说流感可能是美国人干的，应该如何说服她?,1982,2467,179,1580184326
answer,8_1585072249.95,情感,1056367198,41955,1686,17403,1772940,1583333292,19732277,应该清楚男友哪些方面才能结婚？,1856,107458,83,1308889962
answer,9_1585072249.786,英雄联盟（LoL）,1078389858,9532,359,539,859868,1584174883,378732203,如何看待 PDD 在近日直播中给五五开打了电话？,439,1186,47,1583971784
answer,10_1585072249.979,教师,1071913634,5930,793,847,522536,1583925336,319841193,当你踏入教师行业时有什么惊人的发现？,2327,32246,34,1555059950
article,11_1585072249.627,手机,114993049,160,161,我昨天下单红米8手机，今天下巴给惊掉了,50437,1584777466
answer,12_1585072249.780,娱乐八卦,1098128795,434,73,47,92461,1584926788,377280313,如何看待吴尊出道前就结婚？,533,803,18,1583488401
answer,13_1585072255.915,汽车,1024935195,817,177,53,69546,1582096451,20197709,未来汽车的发展方向是什么？,115,1447,5,1335275473
answer,14_1585072255.83,生活,1055990268,2319,616,349,1403764,1583323380,24994059,你做过最羞愧的事情是什么？,293,480,3,1409033832
answer,15_1585072255.68,身高,1091961507,1857,204,636,309740,1584684015,358884433,你们认为女孩身高多少最好看？,8915,16538,74,1575263967
answer,16_1585072255.471,娱乐,938882826,1157,562,289,1061948,1576549803,288257130,作为圈内人，你了解的娱乐圈到底有多乱？,1821,19921,25,1533286744
answer,17_1585072255.634,游戏,1064853992,12130,1170,1534,329796,1583664821,377761689,如果你是天美的运营官，你会如何优化《王者荣耀》？,632,1216,19,1583656432
answer,18_1585072255.415,设计院,1097237358,33,25,4,5599,1584882287,374496465,设计院为什么一直在招人，甚至把学历降低来招人？,32,59,2,1582604255
answer,20_1585072261.689,微信公众账号运营,836357719,5355,182,8413,260209,1569480729,322301275,一个星期内怎样学会微信公众号运营?,144,3630,3,1556554896
